Loai_San,Cap_Do_Ben,Chieu_dai_L(m),Chieu_ron_W(m),Be_day_h(m),Tai_trong_ULS(kN/m2),Phan_tu_so,Momen_M11(kNm/m),Momen_M22(kNm/m)
San_o_co_Waffle_Slab,C20/25,14.44,10.93,0.45,11.37,1001,65.199,113.798
San_console_Cantilever,C25/30,7.31,2.03,0.15,9.68,1002,-19.945,-1.995
Ban_ke_4_canh_2_phuong,C25/30,4.42,3.29,0.2,11.37,1003,5.538,7.775
Ban_dam_1_phuong,C25/30,7.43,3.17,0.12,8.67,1004,8.712,1.742
San_phang_Flat_Slab,C20/25,9.16,6.18,0.3,14.74,1005,62.581,28.148
Ban_dam_1_phuong,C25/30,7.93,2.46,0.13,9.01,1006,5.452,1.09
San_phang_Flat_Slab,C25/30,9.42,8.44,0.24,12.72,1007,75.848,45.305
San_console_Cantilever,C20/25,7.67,2.42,0.13,9.01,1008,-26.383,-2.638
Ban_ke_4_canh_2_phuong,C30/37,8.09,4.52,0.16,10.02,1009,9.212,22.953
Ban_ke_4_canh_2_phuong,C35/45,7.32,4.97,0.13,9.01,1010,10.015,16.897
San_console_Cantilever,C20/25,7.31,1.72,0.14,9.35,1011,-13.831,-1.383
San_o_co_Waffle_Slab,C40/50,12.63,8.8,0.36,10.02,1012,37.246,76.721
Ban_ke_4_canh_2_phuong,C30/37,5.36,4.57,0.17,10.36,1013,9.737,10.417
Ban_dam_1_phuong,C25/30,9.37,3.33,0.14,9.35,1014,10.368,2.074
San_console_Cantilever,C40/50,5.6,1.86,0.14,9.35,1015,-16.174,-1.617
San_console_Cantilever,C25/30,3.4,2.32,0.13,9.01,1016,-24.248,-2.425
San_phang_Flat_Slab,C30/37,8.36,8.28,0.22,12.05,1017,62.558,41.306
San_phang_Flat_Slab,C35/45,9.26,6.19,0.24,12.72,1018,54.683,24.369
San_o_co_Waffle_Slab,C20/25,9.59,9.23,0.46,11.71,1019,47.885,51.693
San_console_Cantilever,C30/37,7.76,1.94,0.14,9.35,1020,-17.595,-1.76
San_console_Cantilever,C40/50,4.89,1.88,0.14,9.35,1021,-16.523,-1.652
San_console_Cantilever,C25/30,6.56,2.36,0.14,9.35,1022,-26.038,-2.604
Ban_dam_1_phuong,C35/45,7.95,2.31,0.13,9.01,1023,4.808,0.962
San_o_co_Waffle_Slab,C40/50,11.65,10.21,0.44,11.37,1024,56.892,74.072
San_phang_Flat_Slab,C20/25,7.74,6.4,0.27,13.73,1025,51.01,28.119
San_o_co_Waffle_Slab,C30/37,11.17,9.96,0.4,10.7,1026,50.95,64.081
San_phang_Flat_Slab,C20/25,10.85,8.43,0.21,11.71,1027,80.33,41.608
Ban_ke_4_canh_2_phuong,C20/25,5.18,3.07,0.15,9.68,1028,4.105,9.091
Ban_ke_4_canh_2_phuong,C20/25,5.64,3.79,0.15,9.68,1029,6.257,10.777
Ban_ke_4_canh_2_phuong,C35/45,5.52,3.59,0.13,9.01,1030,5.225,9.609
San_phang_Flat_Slab,C25/30,8.92,8.66,0.28,14.07,1031,81.515,52.759
Ban_dam_1_phuong,C35/45,6.6,2.65,0.12,8.67,1032,6.089,1.218
San_o_co_Waffle_Slab,C20/25,15.2,11.07,0.46,11.71,1033,68.88,129.863
San_phang_Flat_Slab,C25/30,12.27,8.33,0.21,11.71,1034,89.765,40.627
San_o_co_Waffle_Slab,C20/25,15.17,10.41,0.5,12.38,1035,64.397,136.752
Ban_dam_1_phuong,C20/25,7.21,2.09,0.11,8.33,1036,3.639,0.728
San_o_co_Waffle_Slab,C30/37,12.95,11.19,0.42,11.03,1037,66.294,88.788
San_o_co_Waffle_Slab,C25/30,16.61,11.7,0.42,11.03,1038,72.475,146.068
Ban_dam_1_phuong,C35/45,12.48,3.98,0.13,9.01,1039,14.272,2.854
San_o_co_Waffle_Slab,C25/30,9.51,8.37,0.4,10.7,1040,35.981,46.45
Ban_ke_4_canh_2_phuong,C40/50,6.87,5.61,0.16,10.02,1041,14.191,16.552
Ban_dam_1_phuong,C30/37,5.13,2.06,0.15,9.68,1042,4.108,0.822
Ban_ke_4_canh_2_phuong,C25/30,8.79,4.88,0.17,10.36,1043,11.102,28.016
San_o_co_Waffle_Slab,C30/37,12.75,9.49,0.5,12.38,1044,53.517,96.601
Ban_ke_4_canh_2_phuong,C30/37,7.87,4.0,0.19,11.03,1045,7.942,23.911
San_o_co_Waffle_Slab,C35/45,11.66,8.99,0.41,10.7,1046,41.509,69.827
San_console_Cantilever,C35/45,7.71,1.72,0.1,8.0,1047,-11.834,-1.183
San_phang_Flat_Slab,C20/25,9.84,9.4,0.2,11.37,1048,78.876,50.233
San_console_Cantilever,C20/25,7.08,1.21,0.11,8.33,1049,-6.098,-0.61
San_o_co_Waffle_Slab,C35/45,14.62,11.2,0.43,11.03,1050,66.413,113.165
Ban_dam_1_phuong,C20/25,6.81,2.12,0.13,9.01,1051,4.049,0.81
Ban_dam_1_phuong,C25/30,10.53,3.26,0.12,8.67,1052,9.214,1.843
San_o_co_Waffle_Slab,C30/37,13.96,9.95,0.38,10.36,1053,49.232,96.911
Ban_dam_1_phuong,C20/25,8.82,2.61,0.1,8.0,1054,5.45,1.09
Ban_ke_4_canh_2_phuong,C35/45,6.44,5.27,0.14,9.35,1055,11.685,13.572
Ban_dam_1_phuong,C25/30,9.8,3.31,0.1,8.0,1056,8.765,1.753
Ban_ke_4_canh_2_phuong,C40/50,6.11,3.32,0.2,11.37,1057,5.64,14.856
Ban_dam_1_phuong,C30/37,8.18,3.44,0.13,9.01,1058,10.662,2.132
San_o_co_Waffle_Slab,C40/50,14.17,10.92,0.41,10.7,1059,61.245,103.125
Ban_ke_4_canh_2_phuong,C20/25,4.97,3.5,0.18,10.7,1060,5.898,9.25
San_console_Cantilever,C40/50,5.96,1.88,0.14,9.35,1061,-16.523,-1.652
Ban_dam_1_phuong,C30/37,11.84,3.89,0.12,8.67,1062,13.12,2.624
San_o_co_Waffle_Slab,C40/50,13.5,10.77,0.41,10.7,1063,59.574,93.604
San_console_Cantilever,C35/45,3.98,1.95,0.11,8.33,1064,-15.837,-1.584
Ban_ke_4_canh_2_phuong,C30/37,6.82,4.37,0.16,10.02,1065,8.611,16.312
San_console_Cantilever,C20/25,5.17,1.25,0.1,8.0,1066,-6.25,-0.625
Ban_dam_1_phuong,C40/50,10.42,3.25,0.15,9.68,1067,10.224,2.045
San_o_co_Waffle_Slab,C30/37,11.16,9.82,0.37,10.36,1068,47.954,61.934
San_console_Cantilever,C25/30,5.83,1.33,0.11,8.33,1069,-7.367,-0.737
Ban_dam_1_phuong,C25/30,7.63,2.63,0.14,9.35,1070,6.467,1.293
San_console_Cantilever,C25/30,7.23,1.91,0.11,8.33,1071,-15.194,-1.519
Ban_dam_1_phuong,C40/50,8.75,3.43,0.12,8.67,1072,10.2,2.04
San_o_co_Waffle_Slab,C25/30,11.72,9.48,0.44,11.37,1073,49.048,74.965
Ban_dam_1_phuong,C30/37,6.17,2.51,0.13,9.01,1074,5.676,1.135
Ban_dam_1_phuong,C40/50,4.7,2.06,0.14,9.35,1075,3.968,0.794
San_o_co_Waffle_Slab,C20/25,11.58,9.6,0.47,11.71,1076,51.801,75.373
Ban_ke_4_canh_2_phuong,C25/30,5.63,4.1,0.15,9.68,1077,7.322,10.739
San_phang_Flat_Slab,C25/30,11.16,8.65,0.26,13.4,1078,97.017,50.131
Ban_ke_4_canh_2_phuong,C35/45,4.71,3.37,0.12,8.67,1079,4.431,6.732
San_o_co_Waffle_Slab,C20/25,12.36,11.87,0.38,10.36,1080,70.065,75.969
San_o_co_Waffle_Slab,C40/50,17.08,11.61,0.38,10.36,1081,67.029,145.07
San_o_co_Waffle_Slab,C25/30,14.95,10.98,0.45,11.37,1082,65.797,121.979
Ban_ke_4_canh_2_phuong,C25/30,6.65,4.63,0.14,9.35,1083,9.02,14.472
San_console_Cantilever,C40/50,4.47,1.65,0.11,8.33,1084,-11.339,-1.134
San_o_co_Waffle_Slab,C35/45,12.81,9.6,0.41,10.7,1085,47.333,84.28
Ban_dam_1_phuong,C30/37,10.91,3.59,0.13,9.01,1086,11.612,2.322
San_phang_Flat_Slab,C25/30,8.92,6.36,0.2,11.37,1087,48.378,22.996
San_console_Cantilever,C25/30,5.79,2.42,0.13,9.01,1088,-26.383,-2.638
Ban_dam_1_phuong,C30/37,12.14,3.72,0.14,9.35,1089,12.939,2.588
San_console_Cantilever,C20/25,5.56,1.4,0.14,9.35,1090,-9.163,-0.916
Ban_dam_1_phuong,C25/30,10.89,3.73,0.12,8.67,1091,12.062,2.412
San_console_Cantilever,C35/45,7.41,1.88,0.11,8.33,1092,-14.721,-1.472
San_phang_Flat_Slab,C25/30,11.02,9.58,0.29,14.41,1093,114.097,66.125
Ban_ke_4_canh_2_phuong,C20/25,8.18,4.16,0.14,9.35,1094,7.281,21.897
Ban_dam_1_phuong,C30/37,7.2,2.32,0.14,9.35,1095,5.033,1.007
Ban_ke_4_canh_2_phuong,C25/30,6.32,4.44,0.15,9.68,1096,8.587,13.532
San_o_co_Waffle_Slab,C35/45,10.33,10.08,0.41,10.7,1097,52.185,54.806
Ban_dam_1_phuong,C35/45,4.48,2.06,0.14,9.35,1098,3.968,0.794
San_console_Cantilever,C20/25,4.58,2.35,0.12,8.67,1099,-23.94,-2.394
Ban_dam_1_phuong,C30/37,7.63,2.84,0.12,8.67,1100,6.993,1.399
San_o_co_Waffle_Slab,C40/50,12.24,11.3,0.37,10.36,1101,63.498,74.501
San_console_Cantilever,C30/37,7.24,1.53,0.13,9.01,1102,-10.546,-1.055
San_phang_Flat_Slab,C40/50,13.44,9.41,0.3,14.74,1103,139.813,65.26
San_phang_Flat_Slab,C40/50,11.64,9.8,0.23,12.38,1104,105.916,59.449
San_console_Cantilever,C30/37,5.83,2.47,0.11,8.33,1105,-25.41,-2.541
San_phang_Flat_Slab,C35/45,10.74,8.01,0.28,14.07,1106,90.78,45.137
San_o_co_Waffle_Slab,C35/45,15.85,11.34,0.47,11.71,1107,72.281,141.207
San_o_co_Waffle_Slab,C20/25,12.65,8.98,0.44,11.37,1108,44.01,87.334
Ban_ke_4_canh_2_phuong,C30/37,10.0,5.09,0.12,8.67,1109,10.108,30.345
San_console_Cantilever,C40/50,3.84,1.92,0.12,8.67,1110,-15.981,-1.598
Ban_dam_1_phuong,C40/50,10.2,3.16,0.11,8.33,1111,8.318,1.664
Ban_dam_1_phuong,C25/30,9.42,2.83,0.13,9.01,1112,7.216,1.443
San_console_Cantilever,C30/37,5.19,1.58,0.11,8.33,1113,-10.398,-1.04
Ban_dam_1_phuong,C30/37,5.9,2.66,0.11,8.33,1114,5.894,1.179
San_phang_Flat_Slab,C30/37,9.7,6.75,0.27,13.73,1115,67.423,31.279
Ban_ke_4_canh_2_phuong,C40/50,8.98,5.87,0.16,10.02,1116,15.537,28.281
